LoyaltyNumber,CustomerID,MembershipLevel,JoinDate,CurrentPoints,LifetimePointsEarned,LifetimePointsRedeemed
100001,1,Bronze,2022-07-15,5298,76172,56744
100002,2,Gold,2026-04-02,4981,60069,42902
100003,3,Bronze,2022-07-03,2253,58018,45610
100004,4,Silver,2025-05-30,2372,27594,14295
100005,5,Gold,2025-09-11,3205,1297,23738
100006,6,Gold,2025-01-14,9431,13462,44454
100007,7,Gold,2023-08-11,2418,49455,27991
100008,8,Silver,2022-03-10,2756,7483,6294
100009,9,Bronze,2024-02-20,7763,23644,3438
100010,10,Bronze,2022-11-09,8444,44466,38888
100011,11,Silver,2022-12-30,2434,53052,16056
100012,12,Bronze,2026-07-02,3946,52089,32022
100013,13,Bronze,2023-10-04,9767,22708,42781
100014,14,Gold,2025-05-25,1468,60874,56681
100015,15,Gold,2023-01-04,6260,36173,41440
100016,16,Silver,2024-03-30,6018,1620,7864
100017,17,Bronze,2022-02-15,1999,64222,42035
100018,18,Silver,2023-10-12,8351,29582,1509
100019,19,Silver,2023-04-21,9381,62948,17938
100020,20,Silver,2023-11-29,1549,77809,11868
100021,21,Bronze,2025-02-09,7105,39207,37448
100022,22,Bronze,2024-07-05,5328,8422,46777
100023,23,Platinum,2022-12-27,8806,24333,26563
100024,24,Gold,2025-04-20,323,51715,36441
100025,25,Gold,2023-12-09,8684,64136,4189
100026,26,Silver,2023-08-20,9580,70745,46776
100027,27,Gold,2022-10-25,2033,27292,43160
100028,28,Gold,2025-08-06,2960,78625,45561
100029,29,Bronze,2025-03-02,9088,58719,52462
100030,30,Bronze,2025-04-03,641,16984,37688
100031,31,Bronze,2025-08-22,2641,11610,36863
100032,32,Bronze,2024-09-01,573,11190,8173
100033,33,Silver,2022-02-17,5956,71459,11246
100034,34,Silver,2024-06-12,1,32650,19700
100035,35,Bronze,2022-04-22,8510,38556,43198
100036,36,Silver,2021-10-03,2291,75737,32141
100037,37,Silver,2025-01-22,8563,46252,39726
100038,38,Silver,2025-08-29,3438,13077,43425
100039,39,Gold,2025-04-21,3884,4914,12325
100040,40,Bronze,2025-01-22,3526,17690,39462
100041,41,Silver,2023-03-12,9695,47163,18179
100042,42,Bronze,2023-10-05,6914,9846,36034
100043,43,Bronze,2022-08-22,6255,21506,26218
100044,44,Silver,2025-06-06,4164,55850,45515
100045,45,Bronze,2025-08-16,3338,9348,41259
100046,46,Gold,2022-12-09,3156,48877,36938
100047,47,Silver,2025-01-12,8379,79391,10750
100048,48,Silver,2024-05-21,2514,41565,51628
100049,49,Silver,2025-12-17,424,79216,16220
100050,50,Bronze,2024-02-05,2041,69760,7208
100051,51,Silver,2023-03-02,6664,8745,21584
100052,52,Silver,2021-12-05,5944,43814,50991
100053,53,Bronze,2022-02-21,3698,35967,646
100054,54,Bronze,2021-08-26,3640,49728,6881
100055,55,Gold,2024-08-25,2023,23133,34503
100056,56,Gold,2023-12-27,5022,77278,53827
100057,57,Gold,2023-02-04,1565,69431,22865
100058,58,Gold,2026-03-01,4620,72391,17763
100059,59,Silver,2024-09-01,785,22480,20840
100060,60,Platinum,2025-11-26,6382,23781,22621
100061,61,Gold,2025-04-24,8711,72408,38968
100062,62,Gold,2023-06-13,6597,62603,38817
100063,63,Bronze,2025-05-07,155,67414,46741
100064,64,Bronze,2024-06-21,2070,18800,24825
100065,65,Silver,2026-05-12,4380,7029,47541
100066,66,Silver,2023-03-19,6064,32751,44447
100067,67,Silver,2023-12-15,7500,24099,28767
100068,68,Platinum,2026-06-16,7678,65928,18797
100069,69,Bronze,2021-08-08,7008,68335,47085
100070,70,Gold,2024-09-17,3748,40101,41656
100071,71,Gold,2022-04-08,5007,53382,50500
100072,72,Bronze,2026-06-12,1476,10516,5026
100073,73,Gold,2025-03-31,1534,21741,37703
100074,74,Bronze,2023-01-20,4683,72734,32299
100075,75,Gold,2026-02-25,175,55672,44370
100076,76,Silver,2023-03-25,2235,62969,32624
100077,77,Silver,2023-04-13,8722,16443,26572
100078,78,Bronze,2024-02-14,3115,1055,46803
100079,79,Silver,2023-10-15,8754,45327,16005
100080,80,Platinum,2026-05-05,8652,79948,2775
100081,81,Silver,2026-02-19,2761,68718,59231
100082,82,Bronze,2021-10-06,1230,48210,55011
100083,83,Bronze,2023-09-14,5788,6772,27703
100084,84,Silver,2022-11-08,2793,49027,7420
100085,85,Bronze,2026-03-15,4092,70763,55756
100086,86,Gold,2026-06-15,1931,38119,19606
100087,87,Silver,2021-09-24,4337,28026,146
100088,88,Gold,2021-12-15,9319,51692,14251
100089,89,Platinum,2024-05-12,8446,4743,30346
100090,90,Gold,2024-03-29,7999,7636,23314
100091,91,Bronze,2024-03-22,7542,43163,19552
100092,92,Bronze,2024-10-20,84,45938,58339
100093,93,Gold,2023-07-08,6587,46569,580
100094,94,Bronze,2021-09-20,8061,25992,5553
100095,95,Silver,2026-03-17,2518,53933,8116
100096,96,Platinum,2024-03-26,113,20498,50426
100097,97,Silver,2026-04-05,3704,61795,25910
100098,98,Bronze,2026-02-10,5971,56243,58470
100099,99,Bronze,2025-08-04,4415,14346,28742
100100,100,Silver,2024-12-31,7198,21311,9166
100101,101,Bronze,2024-11-18,7110,861,23542
100102,102,Gold,2022-08-07,3251,14605,12423
100103,103,Bronze,2022-07-26,2190,51813,27594
100104,104,Gold,2022-11-28,517,21112,43660
100105,105,Bronze,2025-09-13,7852,34938,7785
100106,106,Silver,2023-11-23,9013,65055,52417
100107,107,Silver,2022-07-31,2087,42683,49223
100108,108,Gold,2024-06-28,6551,65879,47578
100109,109,Platinum,2024-04-09,6370,17325,7191
100110,110,Platinum,2024-11-27,346,16631,10193
100111,111,Bronze,2023-07-17,223,31099,3410
100112,112,Silver,2021-10-17,5605,56417,39130
100113,113,Gold,2023-05-15,7116,63039,18970
100114,114,Bronze,2023-04-06,1353,56323,16236
100115,115,Silver,2022-07-27,8376,24592,16349
100116,116,Bronze,2024-02-24,1884,34641,45937
100117,117,Bronze,2021-10-07,7031,26106,31057
100118,118,Gold,2022-04-26,1688,65941,40049
100119,119,Bronze,2026-06-06,9686,19593,15032
100120,120,Bronze,2025-11-04,6574,5128,17947
100121,121,Platinum,2025-01-19,2395,55976,1157
100122,122,Silver,2025-09-21,1489,6778,24926
100123,123,Silver,2025-10-14,5020,30433,14534
100124,124,Bronze,2026-02-18,7851,8141,33414
100125,125,Silver,2025-08-02,846,39983,7212
100126,126,Bronze,2026-02-22,4596,46109,46634
100127,127,Silver,2023-11-29,5240,6333,11911
100128,128,Bronze,2022-05-17,854,42257,13892
100129,129,Bronze,2023-09-26,4590,79598,6603
100130,130,Silver,2024-11-09,4133,64493,23827
100131,131,Bronze,2024-08-22,1827,12799,43840
100132,132,Bronze,2021-10-18,9040,17179,21706
100133,133,Bronze,2024-12-18,5920,77289,34659
100134,134,Silver,2023-09-10,3903,36268,13764
100135,135,Silver,2026-06-24,1429,14041,8551
100136,136,Silver,2024-02-22,9860,15875,2689
100137,137,Silver,2021-11-02,3120,25387,46180
100138,138,Silver,2024-03-21,1616,9914,35820
100139,139,Silver,2022-05-09,4939,62254,49872
100140,140,Bronze,2022-07-09,2517,5842,8377
100141,141,Bronze,2026-03-11,9019,33199,58431
100142,142,Gold,2022-12-06,9180,45626,58649
100143,143,Bronze,2024-07-25,1923,57263,4437
100144,144,Silver,2026-05-26,8581,66143,51831
100145,145,Bronze,2026-01-11,9816,36033,45659
100146,146,Platinum,2026-02-07,4745,6056,37104
100147,147,Bronze,2025-04-11,3116,52200,32442
100148,148,Silver,2024-08-25,8412,9928,10847
100149,149,Silver,2022-01-11,8344,50451,36863
100150,150,Gold,2025-11-01,6567,79689,17792
100151,151,Bronze,2024-03-21,58,21071,37479
100152,152,Bronze,2024-04-07,145,67313,29847
100153,153,Silver,2026-01-18,8602,34025,19884
100154,154,Gold,2022-05-25,4855,35294,36185
100155,155,Bronze,2024-04-06,3668,6078,34967
100156,156,Bronze,2024-10-18,640,19516,57907
100157,157,Bronze,2022-01-12,2178,35546,57238
100158,158,Gold,2025-01-20,4079,27621,35035
100159,159,Bronze,2025-08-10,5692,79419,24190
100160,160,Bronze,2022-10-27,8999,34708,47322
100161,161,Bronze,2021-09-07,4831,42650,3752
100162,162,Silver,2025-10-13,170,46693,14370
100163,163,Gold,2024-09-18,4582,23265,16776
100164,164,Platinum,2022-06-05,8804,76549,6975
100165,165,Gold,2023-05-11,6258,33830,57018
100166,166,Silver,2022-10-03,9901,72304,13510
100167,167,Gold,2025-12-30,3614,42601,17615
100168,168,Bronze,2025-02-17,6479,20500,29232
100169,169,Bronze,2022-07-20,7109,48418,9721
100170,170,Platinum,2025-10-08,1535,65106,11895
100171,171,Silver,2022-01-26,2885,24854,37333
100172,172,Silver,2022-06-27,2955,37068,1379
100173,173,Bronze,2024-08-05,2911,51768,45047
100174,174,Silver,2026-03-10,1137,18911,4721
100175,175,Silver,2024-12-14,7455,52857,6568
100176,176,Gold,2026-05-05,2249,1645,39537
100177,177,Bronze,2023-09-27,6291,2815,7211
100178,178,Gold,2021-08-26,716,17424,16275
100179,179,Gold,2025-08-17,4385,18795,41116
100180,180,Silver,2023-08-12,153,14038,35544
100181,181,Gold,2024-01-18,5544,11236,13259
100182,182,Bronze,2021-12-07,9221,58338,53442
100183,183,Bronze,2025-10-18,5435,62871,10126
100184,184,Bronze,2023-07-27,8905,35156,41122
100185,185,Silver,2022-04-30,347,5936,6738
100186,186,Silver,2022-01-29,1680,67148,58094
100187,187,Gold,2026-07-03,2323,258,59779
100188,188,Bronze,2022-10-26,3713,56085,25256
100189,189,Bronze,2023-12-22,4699,29707,57605
100190,190,Silver,2022-06-10,1841,64563,11112
100191,191,Platinum,2021-08-24,3678,13434,18468
100192,192,Bronze,2024-07-10,5467,15612,23625
100193,193,Platinum,2024-07-29,1389,5781,39616
100194,194,Bronze,2022-05-25,7022,69631,21944
100195,195,Silver,2023-11-26,6967,19789,58531
100196,196,Silver,2023-12-14,4940,37718,22831
100197,197,Gold,2021-12-13,4441,65537,43367
100198,198,Bronze,2022-06-07,4348,10109,51698
100199,199,Bronze,2024-04-24,2435,19313,20988
100200,200,Bronze,2022-12-27,7318,62809,53388
100201,201,Bronze,2022-10-25,9467,56127,47625
100202,202,Bronze,2026-04-28,1481,42443,8358
100203,203,Bronze,2022-03-09,6308,46317,20926
100204,204,Silver,2026-07-22,7885,54356,39435
100205,205,Gold,2026-01-01,5463,18216,52569
100206,206,Platinum,2025-08-01,4028,50324,27437
100207,207,Silver,2023-10-06,8826,70062,32283
