CampaignID,CampaignName,Channel,StartDate,EndDate,DiscountPercent
1,Campaign 1,Mobile App,2026-02-16,2026-03-02,30
2,Campaign 2,Mobile App,2026-04-04,2026-04-18,19
3,Campaign 3,Mobile App,2025-10-15,2025-10-29,25
4,Campaign 4,Mobile App,2026-07-28,2026-08-11,12
5,Campaign 5,Email,2025-05-30,2025-06-13,25
6,Campaign 6,SMS,2025-07-25,2025-08-08,29
7,Campaign 7,Email,2026-07-03,2026-07-17,6
8,Campaign 8,Email,2024-12-14,2024-12-28,12
9,Campaign 9,Email,2025-11-15,2025-11-29,13
10,Campaign 10,Mobile App,2025-07-31,2025-08-14,30
11,Campaign 11,SMS,2026-05-02,2026-05-16,28
12,Campaign 12,Mobile App,2025-07-27,2025-08-10,28
13,Campaign 13,SMS,2025-04-20,2025-05-04,15
14,Campaign 14,SMS,2026-01-28,2026-02-11,13
15,Campaign 15,SMS,2025-01-06,2025-01-20,8
16,Campaign 16,Email,2026-05-27,2026-06-10,14
17,Campaign 17,Mobile App,2024-10-21,2024-11-04,13
18,Campaign 18,Mobile App,2025-12-22,2026-01-05,6
19,Campaign 19,Mobile App,2026-01-06,2026-01-20,14
20,Campaign 20,Mobile App,2024-09-28,2024-10-12,19
21,Campaign 21,Mobile App,2025-03-03,2025-03-17,30
22,Campaign 22,Email,2025-06-04,2025-06-18,8
23,Campaign 23,Mobile App,2024-11-10,2024-11-24,7
24,Campaign 24,SMS,2026-06-12,2026-06-26,17
25,Campaign 25,Email,2025-07-04,2025-07-18,15
26,Campaign 26,SMS,2025-07-31,2025-08-14,10
27,Campaign 27,SMS,2025-02-28,2025-03-14,6
28,Campaign 28,SMS,2026-01-18,2026-02-01,24
29,Campaign 29,Mobile App,2025-11-10,2025-11-24,16
30,Campaign 30,Mobile App,2025-07-13,2025-07-27,27
31,Campaign 31,SMS,2025-04-15,2025-04-29,30
32,Campaign 32,SMS,2025-11-03,2025-11-17,18
33,Campaign 33,Email,2025-08-22,2025-09-05,8
34,Campaign 34,Email,2025-10-23,2025-11-06,6
35,Campaign 35,SMS,2024-09-27,2024-10-11,23
36,Campaign 36,SMS,2026-06-16,2026-06-30,17
37,Campaign 37,SMS,2025-01-31,2025-02-14,19
38,Campaign 38,SMS,2026-01-26,2026-02-09,14
39,Campaign 39,Mobile App,2025-06-20,2025-07-04,28
40,Campaign 40,SMS,2025-05-09,2025-05-23,18
