ProductID,ProductName,CategoryID,Brand,UnitPrice,UnitCost
1,Commodi Product 1,14,Brand 14,15.72,11.29
2,Error Product 2,4,Brand 5,2.07,1.54
3,Nobis Product 3,4,Brand 44,34.46,20.31
4,Voluptates Product 4,4,Brand 24,50.84,28.25
5,Exercitationem Product 5,4,Brand 39,41.89,25.93
6,Maiores Product 6,14,Brand 14,43.49,33.32
7,Voluptatum Product 7,16,Brand 2,34.42,25.9
8,Nobis Product 8,13,Brand 35,32.29,25.61
9,Consectetur Product 9,17,Brand 31,32.22,25.07
10,Cum Product 10,18,Brand 36,18.88,13.85
11,Magni Product 11,1,Brand 18,20.04,13.27
12,Delectus Product 12,8,Brand 26,39.94,28.7
13,Magni Product 13,3,Brand 49,55.83,33.69
14,Vero Product 14,5,Brand 50,78.09,61.42
15,Quas Product 15,4,Brand 43,79.05,54.79
16,Similique Product 16,2,Brand 25,39.64,23.74
17,Aspernatur Product 17,3,Brand 3,19.4,14.98
18,Esse Product 18,5,Brand 38,5.89,3.11
19,Exercitationem Product 19,6,Brand 9,44.37,29.02
20,Accusantium Product 20,4,Brand 34,23.9,13.33
21,Libero Product 21,4,Brand 29,8.83,6.26
22,Sit Product 22,13,Brand 42,62.27,32.13
23,Officia Product 23,11,Brand 44,66.54,42.22
24,Veritatis Product 24,17,Brand 42,49.8,28.67
25,Voluptatem Product 25,10,Brand 38,46.97,32.14
26,Ipsam Product 26,2,Brand 21,50.69,27.8
27,Qui Product 27,4,Brand 32,69.72,37.46
28,Fugiat Product 28,14,Brand 22,23.77,18.93
29,Nulla Product 29,4,Brand 36,29.76,20.41
30,Perspiciatis Product 30,1,Brand 28,53.71,28.1
31,Quas Product 31,11,Brand 27,18.48,14.02
32,Occaecati Product 32,14,Brand 13,9.39,7.03
33,Enim Product 33,15,Brand 24,15.12,11.34
34,Repudiandae Product 34,6,Brand 48,36.99,28.11
35,Reiciendis Product 35,14,Brand 39,34.32,20.3
36,Sequi Product 36,16,Brand 36,34.02,22.19
37,Quaerat Product 37,7,Brand 34,8.92,6.74
38,Consequatur Product 38,2,Brand 26,57.42,37.85
39,Reprehenderit Product 39,2,Brand 8,75.93,55.36
40,Autem Product 40,1,Brand 32,52.15,27.28
41,Aut Product 41,12,Brand 13,79.31,58.58
42,Accusantium Product 42,4,Brand 25,56.26,31.87
43,Tempore Product 43,7,Brand 27,78.73,61.12
44,Officiis Product 44,8,Brand 5,64.58,41.4
45,Fugit Product 45,11,Brand 18,69.16,46.58
46,Labore Product 46,2,Brand 20,60.84,43.0
47,Culpa Product 47,8,Brand 31,67.11,47.1
48,Ad Product 48,10,Brand 24,48.91,32.02
49,Nostrum Product 49,8,Brand 22,27.97,19.82
50,Pariatur Product 50,8,Brand 44,72.5,49.25
51,Pariatur Product 51,4,Brand 10,47.71,30.75
52,Eligendi Product 52,7,Brand 39,23.72,16.36
53,Odit Product 53,11,Brand 50,13.35,10.52
54,Ad Product 54,15,Brand 18,28.68,14.94
55,Dolore Product 55,6,Brand 21,48.82,32.58
56,Ipsum Product 56,9,Brand 32,70.5,53.6
57,Aliquam Product 57,4,Brand 46,72.05,57.46
