TransactionID,CustomerID,StoreID,TransactionDate,PaymentMethod,TransactionTotal
1,2797,15,2025-05-25,Cash,0
2,4193,19,2025-03-12,Debit,0
3,1243,6,2025-07-14,Debit,0
4,4724,7,2025-12-25,Debit,0
5,4153,11,2025-03-19,Debit,0
6,203,25,2026-01-20,Cash,0
7,4752,1,2026-06-24,Credit,0
8,4158,9,2025-07-27,Credit,0
9,3115,17,2024-08-05,Debit,0
10,3415,1,2026-07-01,Debit,0
11,3105,24,2026-07-13,Credit,0
12,4895,6,2026-01-15,Credit,0
13,3341,3,2024-08-13,Cash,0
14,4255,5,2026-07-14,Debit,0
15,4489,16,2025-11-07,Cash,0
16,3628,15,2025-03-14,Debit,0
17,3597,20,2025-06-14,Debit,0
18,3838,2,2024-08-20,Credit,0
19,1681,19,2024-11-04,Credit,0
20,3329,5,2025-07-26,Debit,0
21,1826,16,2025-12-30,Debit,0
22,4828,6,2026-02-02,Credit,0
23,3638,3,2025-12-26,Credit,0
24,700,2,2026-03-16,Debit,0
25,1953,12,2025-04-13,Cash,0
26,1066,18,2024-11-24,Credit,0
27,3437,6,2026-06-06,Cash,0
28,267,14,2026-07-11,Credit,0
29,1376,10,2024-08-31,Cash,0
30,1344,8,2026-05-26,Cash,0
31,1982,2,2026-07-08,Cash,0
32,1767,20,2024-11-27,Credit,0
33,1883,9,2026-04-02,Debit,0
34,3106,1,2026-05-13,Debit,0
35,226,13,2025-08-17,Credit,0
36,2119,23,2025-02-01,Cash,0
37,19,13,2025-10-14,Credit,0
38,2817,21,2026-06-18,Cash,0
39,1563,11,2025-10-03,Debit,0
40,4405,13,2025-07-20,Debit,0
41,1152,20,2024-09-18,Debit,0
42,741,5,2025-06-17,Credit,0
43,2816,8,2025-04-08,Debit,0
44,398,2,2026-07-01,Debit,0
45,2171,9,2024-09-17,Credit,0
46,4553,11,2025-12-08,Debit,0
47,4356,16,2025-03-03,Debit,0
48,2011,4,2025-06-19,Cash,0
49,4741,21,2024-10-17,Credit,0
50,81,9,2026-05-30,Cash,0
51,2967,12,2025-12-13,Debit,0
52,1173,17,2025-08-01,Cash,0
53,2655,8,2026-03-20,Debit,0
54,3361,25,2025-10-22,Debit,0
55,1082,12,2025-11-17,Debit,0
56,245,16,2025-08-11,Credit,0
57,3476,18,2024-12-14,Credit,0
58,3659,18,2026-07-02,Debit,0
59,225,22,2025-09-14,Cash,0
60,345,8,2025-02-18,Credit,0
61,4835,5,2025-10-26,Cash,0
62,1003,8,2024-12-13,Cash,0
63,3937,2,2026-02-28,Cash,0
64,2671,18,2025-04-15,Debit,0
65,3398,7,2025-10-16,Credit,0
66,4725,22,2025-02-07,Cash,0
67,4424,16,2025-01-05,Credit,0
68,4297,25,2025-01-08,Debit,0
69,1307,17,2024-08-06,Debit,0
70,1663,23,2024-10-26,Cash,0
71,2062,6,2025-11-26,Debit,0
72,4649,12,2026-03-18,Debit,0
73,1423,19,2024-09-03,Cash,0
74,3883,22,2025-01-21,Credit,0
75,3214,10,2024-12-26,Debit,0
76,941,14,2024-09-13,Cash,0
77,1921,7,2025-11-17,Cash,0
78,4440,18,2026-02-11,Credit,0
79,55,16,2025-01-18,Cash,0
80,159,11,2026-03-30,Cash,0
81,339,6,2026-06-29,Credit,0
82,3995,10,2026-04-23,Debit,0
83,650,5,2025-06-26,Cash,0
84,1206,22,2024-08-15,Cash,0
85,30,3,2025-05-18,Credit,0
86,4007,12,2026-03-11,Debit,0
87,3003,9,2024-09-11,Cash,0
88,3264,9,2025-10-05,Credit,0
89,4082,20,2025-11-18,Cash,0
90,559,2,2025-08-01,Debit,0
91,3325,14,2025-06-07,Cash,0
92,3822,11,2026-03-23,Credit,0
93,147,25,2025-12-31,Cash,0
94,2913,6,2026-06-05,Debit,0
95,4679,15,2026-03-01,Debit,0
96,2260,6,2024-09-02,Cash,0
97,1883,24,2026-03-23,Debit,0
98,454,16,2025-02-10,Credit,0
99,2799,10,2026-01-24,Credit,0
100,4448,7,2026-07-22,Cash,0
101,110,19,2026-07-27,Debit,0
102,4159,16,2025-10-04,Cash,0
103,1949,23,2025-08-12,Credit,0
104,1771,13,2025-09-15,Credit,0
105,86,14,2026-02-01,Cash,0
106,721,9,2026-06-06,Debit,0
107,3649,20,2025-02-02,Cash,0
108,1877,5,2025-04-20,Debit,0
109,3977,3,2024-08-30,Debit,0
110,4355,11,2025-04-13,Credit,0
111,817,20,2024-09-16,Credit,0
112,3771,1,2026-01-05,Cash,0
113,2990,2,2026-06-11,Credit,0
114,876,19,2026-07-16,Debit,0
115,4067,20,2025-04-27,Debit,0
116,1084,1,2025-02-16,Credit,0
117,1058,12,2026-08-02,Cash,0
118,4682,5,2025-04-11,Cash,0
119,977,18,2025-07-25,Cash,0
120,4504,24,2025-03-08,Credit,0
121,2891,5,2026-03-18,Cash,0
122,1859,23,2026-06-06,Cash,0
123,4630,15,2025-03-11,Cash,0
124,2201,19,2025-08-17,Credit,0
125,1620,25,2025-10-09,Debit,0
126,4797,11,2025-02-26,Credit,0
127,1324,19,2024-12-15,Cash,0
128,2816,18,2025-04-15,Credit,0
129,3048,11,2024-12-10,Cash,0
130,634,14,2025-06-16,Cash,0
131,4951,21,2024-11-25,Debit,0
132,683,10,2026-04-22,Credit,0
133,1351,1,2025-03-18,Debit,0
134,2739,15,2025-11-28,Debit,0
135,907,10,2024-12-10,Cash,0
136,2450,18,2026-01-28,Debit,0
137,1952,19,2024-08-13,Debit,0
138,1299,13,2024-08-15,Cash,0
139,2834,20,2026-02-25,Cash,0
140,4237,18,2026-03-27,Cash,0
141,575,6,2025-12-23,Debit,0
142,4712,16,2024-11-03,Credit,0
143,3683,8,2026-02-04,Credit,0
144,3558,23,2025-05-21,Debit,0
145,3933,6,2026-04-23,Debit,0
146,2434,7,2025-03-14,Credit,0
147,2505,7,2025-07-20,Credit,0
148,2807,10,2026-04-02,Credit,0
149,3789,17,2025-06-29,Debit,0
150,1350,20,2025-03-10,Debit,0
151,2965,16,2025-07-29,Cash,0
152,2766,13,2024-09-06,Credit,0
153,2519,8,2025-06-10,Credit,0
154,353,6,2024-11-08,Credit,0
155,4681,2,2025-04-29,Cash,0
156,2214,18,2024-11-22,Credit,0
157,154,21,2025-12-05,Debit,0
158,1027,10,2026-01-18,Debit,0
159,4762,14,2025-06-01,Cash,0
160,251,24,2026-01-01,Cash,0
161,4650,10,2025-12-28,Cash,0
162,4927,3,2024-12-29,Debit,0
163,2903,16,2025-05-07,Cash,0
164,3915,14,2025-03-11,Cash,0
165,2360,6,2025-12-17,Debit,0
166,3129,23,2026-03-16,Credit,0
167,1134,5,2025-12-13,Debit,0
168,2144,20,2025-04-22,Cash,0
169,271,8,2024-12-06,Debit,0
170,4912,8,2024-10-18,Cash,0
171,4878,25,2024-12-18,Cash,0
172,2199,21,2025-06-30,Cash,0
173,822,22,2025-11-02,Debit,0
174,1215,15,2026-01-07,Cash,0
175,891,23,2024-08-12,Cash,0
176,3770,6,2024-12-21,Cash,0
177,3245,10,2025-01-25,Cash,0
178,2119,16,2026-02-16,Debit,0
179,3450,19,2025-10-10,Cash,0
180,95,21,2025-09-01,Cash,0
181,4274,9,2025-12-28,Cash,0
182,1825,7,2026-06-28,Debit,0
183,4322,24,2026-01-28,Debit,0
184,3674,10,2025-05-21,Cash,0
185,1294,19,2025-12-29,Credit,0
186,1986,25,2026-07-08,Credit,0
187,2647,20,2025-01-30,Debit,0
188,3404,23,2026-07-06,Debit,0
189,3905,3,2025-04-02,Debit,0
190,2042,20,2025-11-17,Cash,0
191,1383,6,2025-08-13,Debit,0
192,1340,24,2026-03-16,Debit,0
193,3810,24,2025-01-30,Cash,0
194,3299,11,2024-11-21,Cash,0
195,350,24,2025-07-03,Cash,0
196,1174,20,2025-08-08,Credit,0
197,131,19,2026-03-15,Cash,0
198,456,14,2025-09-07,Debit,0
199,3714,14,2025-03-06,Cash,0
200,2554,10,2025-07-03,Cash,0
201,3700,17,2024-12-16,Debit,0
202,2044,24,2025-05-01,Credit,0
203,2662,11,2024-09-18,Debit,0
204,431,23,2026-07-26,Debit,0
205,1443,21,2026-06-26,Cash,0
206,1024,13,2025-06-14,Credit,0
207,4037,20,2026-07-22,Cash,0
208,502,24,2025-02-07,Debit,0
209,3629,12,2026-06-28,Debit,0
210,4677,8,2024-09-14,Credit,0
211,1610,10,2025-01-18,Cash,0
212,4707,13,2025-10-25,Credit,0
213,158,9,2025-07-15,Debit,0
214,1737,24,2026-01-03,Credit,0
215,4833,6,2025-05-10,Credit,0
216,2841,6,2025-01-07,Credit,0
217,3841,18,2025-06-22,Credit,0
218,1823,11,2026-06-03,Debit,0
219,1624,8,2026-05-09,Credit,0
220,808,8,2026-04-16,Cash,0
221,162,16,2026-05-13,Cash,0
222,2272,11,2024-12-06,Cash,0
223,1706,2,2024-09-25,Cash,0
224,1885,14,2025-03-27,Debit,0
225,832,6,2024-11-06,Cash,0
226,2402,25,2025-03-05,Debit,0
227,2077,1,2026-03-17,Credit,0
228,4670,18,2026-05-08,Debit,0
229,1564,23,2026-07-03,Debit,0
230,1289,2,2025-10-26,Cash,0
231,1886,12,2025-02-03,Cash,0
