StoreID,StoreName,City,Province
1,Store 1,Toronto,ON
2,Store 2,Mississauga,ON
3,Store 3,Brampton,ON
4,Store 4,Hamilton,ON
5,Store 5,London,ON
6,Store 6,Windsor,ON
7,Store 7,Kitchener,ON
8,Store 8,Waterloo,ON
9,Store 9,Oshawa,ON
10,Store 10,Barrie,ON
11,Store 11,Kingston,ON
12,Store 12,Sudbury,ON
13,Store 13,Peterborough,ON
14,Store 14,Guelph,ON
15,Store 15,Cambridge,ON
16,Store 16,Milton,ON
17,Store 17,Ajax,ON
18,Store 18,Whitby,ON
19,Store 19,Niagara Falls,ON
20,Store 20,Markham,ON
21,Store 21,Vaughan,ON
22,Store 22,Richmond Hill,ON
23,Store 23,Oakville,ON
24,Store 24,Burlington,ON
25,Store 25,St. Catharines,ON
